

Results from heasarc_veroncat: Veron Catalog of Quasars & AGN, 13th Edition
Coordinate system:  Equatorial
|name             |redshift|object_type|lii     |bii     |broad_type|class           |
|NGC 4548         |   0.002|S3         |285.6817| 76.8396|AGN       |           LINER|
|NGC 1058         |   0.002|S2         |146.4067|-20.3703|AGN       |  SEYFERT TYPE 2|
|NGC 4945         |   0.002|S          |305.2725| 13.3405|AGN       |         SEYFERT|
|NGC 4278         |   0.002|S3b        |193.7812| 82.7730|AGN       |           LINER|
|SDSS J07596+1914 |   0.002|S1         |202.4518| 23.3727|AGN       |  SEYFERT TYPE 1|
|SDSS J09328+4725 |   0.002|AG         |171.4684| 46.5200|AGN       |AGN UNCLASSIFIED|
|SDSS J13289+3108 |   0.002|S1         | 61.2959| 80.8822|AGN       |  SEYFERT TYPE 1|
|NGC 1386         |   0.002|S1i        |237.6632|-53.9654|AGN       |  SEYFERT TYPE 1|
|NGC 4625         |   0.002|S          |130.2293| 75.7184|AGN       |         SEYFERT|
|NGC 4594         |   0.002|S3         |298.4597| 51.1492|AGN       |           LINER|
|SDSS J12046+1827 |   0.002|AG         |249.2711| 76.1745|AGN       |AGN UNCLASSIFIED|
|NGC 4051         |   0.002|S1n        |148.8830| 70.0851|AGN       |  SEYFERT TYPE 1|
|NGC 3486         |   0.002|S2         |202.0764| 65.4875|AGN       |  SEYFERT TYPE 2|
|NGC 3627         |   0.002|S3         |241.9616| 64.4178|AGN       |           LINER|
|NGC 4206         |   0.002|S          |270.2025| 73.5537|AGN       |         SEYFERT|
|Q 1200+4755      |   0.002|AG         |144.5141| 67.3931|AGN       |AGN UNCLASSIFIED|
|NGC 2841         |   0.002|S3         |166.9407| 44.1494|AGN       |           LINER|
|SDSS J12439+3210 |   0.002|S1         |140.3673| 84.7015|AGN       |  SEYFERT TYPE 1|
|SDSS J10390+4140 |   0.002|S1         |176.0305| 59.3202|AGN       |  SEYFERT TYPE 1|
|NGC 5866         |   0.002|S          | 92.0342| 52.4892|AGN       |         SEYFERT|
|SDSS J15199+0804 |   0.002|S1         | 11.4671| 50.0492|AGN       |  SEYFERT TYPE 1|
|SDSS J08132+4559 |   0.002|S1         |173.8120| 32.9528|AGN       |  SEYFERT TYPE 1|
|NGC 3621         |   0.002|S2         |281.2142| 26.0986|AGN       |  SEYFERT TYPE 2|
|NGC 4941         |   0.003|S2         |308.8056| 57.1743|AGN       |  SEYFERT TYPE 2|
|NGC 3941         |   0.003|S2         |170.7171| 74.1940|AGN       |  SEYFERT TYPE 2|
|NGC 5005         |   0.003|S3b        |101.6114| 79.2497|AGN       |           LINER|
|NGC 4374         |   0.003|S2         |278.2039| 74.4783|AGN       |  SEYFERT TYPE 2|
|NGC 4151         |   0.003|S1.5       |155.0779| 75.0629|AGN       |SEYFERT TYPE 1.5|
|NGC 4772         |   0.003|S3b        |304.1466| 65.0350|AGN       |           LINER|
|NGC 3227         |   0.003|S1.5       |216.9906| 55.4456|AGN       |SEYFERT TYPE 1.5|
|NGC 2787         |   0.003|S3b        |144.0454| 38.0471|AGN       |           LINER|
|NGC 2681         |   0.003|S3b        |167.3261| 39.6795|AGN       |           LINER|
|NGC 4102         |   0.003|S3         |138.0787| 63.0724|AGN       |           LINER|
|NGC 3310         |   0.003|H2         |156.6042| 54.0623|AGN       |AGN UNCLASSIFIED|
|NGC 4143         |   0.003|S3b        |149.1823| 72.3966|AGN       |           LINER|
|IC 4870          |   0.003|H2         |330.3314|-29.2726|AGN       |AGN UNCLASSIFIED|
|NGC 6300         |   0.003|S2         |328.4933|-14.0504|AGN       |  SEYFERT TYPE 2|
|NGC 3982         |   0.003|S1.9       |138.8306| 60.2740|AGN       |  SEYFERT TYPE 2|
|NGC 3718         |   0.003|S3b        |147.0160| 60.2165|AGN       |           LINER|
|NGC 3169         |   0.003|S          |238.2005| 45.6465|AGN       |         SEYFERT|
|NGC 5273         |   0.003|S1.9       | 74.3502| 76.2460|AGN       |  SEYFERT TYPE 2|
|Q 0956+4751      |   0.003|AG         |169.6840| 50.8363|AGN       |AGN UNCLASSIFIED|
|NGC 4472         |   0.003|S2         |286.9222| 70.1962|AGN       |  SEYFERT TYPE 2|
|NGC  660         |   0.003|S3         |141.6079|-47.3468|AGN       |           LINER|
|NGC 5643         |   0.003|S2         |321.4427| 15.0282|AGN       |  SEYFERT TYPE 2|
|NGC 5033         |   0.003|S1.8       | 98.0597| 79.4479|AGN       |  SEYFERT TYPE 2|
|NGC 4117         |   0.003|S2         |149.0732| 71.7162|AGN       |  SEYFERT TYPE 2|
|NGC 3353         |   0.003|H2         |152.3044| 53.3746|AGN       |AGN UNCLASSIFIED|
|NGC 3423         |   0.003|S          |244.1657| 54.3671|AGN       |         SEYFERT|
|NGC 3928         |   0.003|S          |147.1598| 65.5441|AGN       |         SEYFERT|
|NGC 1808         |   0.003|H2         |241.2116|-35.9017|AGN       |AGN UNCLASSIFIED|
|NGC 3607         |   0.003|S2         |230.6018| 66.4225|AGN       |  SEYFERT TYPE 2|
|NGC 4698         |   0.003|S2         |300.5688| 71.3449|AGN       |  SEYFERT TYPE 2|
|UGC  7377        |   0.003|S3         |191.4032| 82.6211|AGN       |           LINER|
|NGC 5879         |   0.003|S3         | 93.2291| 51.3965|AGN       |           LINER|
|IC 3576          |   0.003|H2         |292.5289| 69.1926|AGN       |AGN UNCLASSIFIED|
|NGC 4138         |   0.003|S1.9       |147.3045| 71.4042|AGN       |  SEYFERT TYPE 2|
|NGC 2685         |   0.003|S2         |157.7795| 38.8955|AGN       |  SEYFERT TYPE 2|
|NGC 4636         |   0.003|S3b        |297.7498| 65.4729|AGN       |           LINER|
|NGC 1068         |   0.003|S1h        |172.1034|-51.9336|AGN       |  SEYFERT TYPE 1|
|NGC 4700         |   0.004|H2         |302.0197| 51.4554|AGN       |AGN UNCLASSIFIED|
|MARK 1308        |   0.004|H2         |273.5949| 59.7082|AGN       |AGN UNCLASSIFIED|
|NGC 2985         |   0.004|S1.9       |139.0130| 38.6824|AGN       |  SEYFERT TYPE 2|
|UGC 10713        |   0.004|H2         |104.0285| 33.7407|AGN       |AGN UNCLASSIFIED|
|NGC 4694         |   0.004|H2         |300.1216| 73.8380|AGN       |AGN UNCLASSIFIED|
|NGC 4725         |   0.004|S2         |295.0742| 88.3582|AGN       |  SEYFERT TYPE 2|
|NGC  428         |   0.004|S3         |134.2167|-61.4183|AGN       |           LINER|
|SDSS J01143+0055 |   0.004|S1         |134.9674|-61.4182|AGN       |  SEYFERT TYPE 1|
|NGC 1097         |   0.004|S3b        |226.9136|-64.6808|AGN       |           LINER|
|NGC 4569         |   0.004|S          |288.4679| 75.6239|AGN       |         SEYFERT|
|KAZ  69          |   0.004|S3         |101.0225| 39.0520|AGN       |           LINER|
|NGC 4486         |   0.004|S3         |283.7789| 74.4912|AGN       |           LINER|
|NGC 3185         |   0.004|S2         |213.2221| 54.7036|AGN       |  SEYFERT TYPE 2|
|NGC 1566         |   0.004|S1.5       |264.3102|-43.3926|AGN       |SEYFERT TYPE 1.5|
|NGC 3079         |   0.004|S2         |157.8080| 48.3609|AGN       |  SEYFERT TYPE 2|
|NGC 1672         |   0.004|S          |268.7844|-38.9906|AGN       |         SEYFERT|
|NGC 6221         |   0.004|S2         |329.7384| -9.5713|AGN       |  SEYFERT TYPE 2|
|NGC 4192         |   0.004|S3         |265.4317| 74.9600|AGN       |           LINER|
|NGC 3998         |   0.004|S3b        |138.1725| 60.0633|AGN       |           LINER|
|SDSS J12580+0134 |   0.004|S2         |306.7409| 64.3989|AGN       |  SEYFERT TYPE 2|
|NGC 3177         |   0.004|S          |214.0262| 54.2987|AGN       |         SEYFERT|
|NGC 3226         |   0.004|S3b        |216.9279| 55.4431|AGN       |           LINER|
|MCG -06.21.005   |   0.004|S          |261.4696| 11.6997|AGN       |         SEYFERT|
|NGC 4438         |   0.004|S3b        |280.3468| 74.8327|AGN       |           LINER|
|MCG -04.30.010   |   0.004|S3         |299.7402| 37.4756|AGN       |           LINER|
|NGC 4517         |   0.004|S3         |292.7372| 62.6165|AGN       |           LINER|
|SDSS J09420+5729 |   0.004|S1         |157.0028| 45.1220|AGN       |  SEYFERT TYPE 1|
|NGC 4565         |   0.004|S1.9       |230.7712| 86.4368|AGN       |  SEYFERT TYPE 2|
|SDSS J12482-0319 |   0.004|S1         |301.3464| 59.5288|AGN       |  SEYFERT TYPE 1|
|NGC 5806         |   0.004|S2         |359.0912| 50.1942|AGN       |  SEYFERT TYPE 2|
|NGC 4411B        |   0.004|S2         |284.0704| 70.8483|AGN       |  SEYFERT TYPE 2|
|NGC 7217         |   0.004|S3         | 86.5070|-19.7078|AGN       |           LINER|
|NGC 4203         |   0.004|S3b        |173.0332| 80.0787|AGN       |           LINER|
|NGC 3504         |   0.005|H2         |204.6020| 66.0401|AGN       |AGN UNCLASSIFIED|
|ESO 428-G14      |   0.005|S2         |241.8767| -7.9651|AGN       |  SEYFERT TYPE 2|
|NGC 2768         |   0.005|S          |155.4947| 40.5634|AGN       |         SEYFERT|
|NGC 4383         |   0.005|H2         |272.1240| 77.7565|AGN       |AGN UNCLASSIFIED|
|NGC 4750         |   0.005|S3b        |123.0672| 44.2532|AGN       |           LINER|
|NGC 7590         |   0.005|S2         |348.2297|-65.8466|AGN       |  SEYFERT TYPE 2|
|NGC 3032         |   0.005|H2         |199.0114| 50.6715|AGN       |AGN UNCLASSIFIED|
|NGC 3254         |   0.005|S2         |200.1093| 58.7533|AGN       |  SEYFERT TYPE 2|
|NGC 4579         |   0.005|S3b        |290.3966| 74.3551|AGN       |           LINER|
|NGC 5084         |   0.005|S3         |311.7527| 40.5500|AGN       |           LINER|
|NGC 2442         |   0.005|S3         |281.2987|-21.5012|AGN       |           LINER|
|ESO 540-G14      |   0.005|S2         |101.1071|-83.5649|AGN       |  SEYFERT TYPE 2|
|IC 1459          |   0.005|S3         |  4.6590|-64.1096|AGN       |           LINER|
|NGC  613         |   0.005|S?         |229.0762|-80.2924|AGN       |         SEYFERT|
|NGC 6217         |   0.005|H2         |111.3164| 33.3648|AGN       |AGN UNCLASSIFIED|
|NGC 2655         |   0.005|S3         |134.9225| 32.6890|AGN       |           LINER|
|NGC 7314         |   0.005|S1h        | 27.1345|-59.7426|AGN       |  SEYFERT TYPE 1|
|NGC 6814         |   0.005|S1.5       | 29.3519|-16.0124|AGN       |SEYFERT TYPE 1.5|
|NGC  918         |   0.005|AG         |152.1612|-38.9582|AGN       |AGN UNCLASSIFIED|
|NGC  676         |   0.005|S2         |147.8822|-54.1552|AGN       |  SEYFERT TYPE 2|
|NGC 1042         |   0.005|S          |182.0764|-58.1687|AGN       |         SEYFERT|
|NGC 7552         |   0.005|H2         |348.1448|-65.2361|AGN       |AGN UNCLASSIFIED|
|SDSS J12455-0032 |   0.005|S3         |299.7521| 62.2955|AGN       |           LINER|
|NGC 7582         |   0.005|S1i        |348.0784|-65.6958|AGN       |  SEYFERT TYPE 1|
|NGC 4477         |   0.005|S2         |281.5446| 75.6119|AGN       |  SEYFERT TYPE 2|
|SDSS J14418+0305 |   0.005|S1         |355.3808| 54.3103|AGN       |  SEYFERT TYPE 1|
|NGC 4813         |   0.005|S2         |305.2279| 56.0315|AGN       |  SEYFERT TYPE 2|
|NGC 4303         |   0.005|S2         |284.3707| 66.2757|AGN       |  SEYFERT TYPE 2|
|NGC 1052         |   0.005|S3b        |182.0196|-57.9255|AGN       |           LINER|
|NGC 4036         |   0.005|S3b        |132.9796| 54.2464|AGN       |           LINER|
|NGC 7496         |   0.005|S2         |347.8357|-63.8013|AGN       |  SEYFERT TYPE 2|
|NGC 3642         |   0.005|S3b        |142.5547| 54.5263|AGN       |           LINER|
|NGC 2217         |   0.005|S3         |234.8501|-18.1310|AGN       |           LINER|
|Q 1102+4641      |   0.006|AG         |163.1365| 61.6089|AGN       |AGN UNCLASSIFIED|
|NGC 5861         |   0.006|S2         |348.5288| 39.0509|AGN       |  SEYFERT TYPE 2|
|NPM1G-10.0425    |   0.006|H2         |292.8444| 51.3177|AGN       |AGN UNCLASSIFIED|
|NGC 5087         |   0.006|S3         |312.0348| 41.7481|AGN       |           LINER|
|NGC 6951         |   0.006|S2         |100.8960| 14.8524|AGN       |  SEYFERT TYPE 2|
|NGC 3259         |   0.006|S1         |143.2584| 46.2284|AGN       |  SEYFERT TYPE 1|
|NGC 4450         |   0.006|S3b        |273.9123| 78.6420|AGN       |           LINER|
|NGC 4105         |   0.006|S3         |291.4598| 32.1127|AGN       |           LINER|
|NGC 3962         |   0.006|S3         |282.6529| 46.6493|AGN       |           LINER|
|ESO 005-G04      |   0.006|S2         |299.2010|-27.7466|AGN       |  SEYFERT TYPE 2|
|NGC 7410         |   0.006|S3         |358.0206|-62.8300|AGN       |           LINER|
|ESO 108-IG17     |   0.006|H2         |323.3233|-43.3543|AGN       |AGN UNCLASSIFIED|
|NGC 6384         |   0.006|S3         | 30.2601| 20.7706|AGN       |           LINER|
|NGC 1365         |   0.006|S1.8       |237.9554|-54.5980|AGN       |  SEYFERT TYPE 2|
|SDSS J14461-0013 |   0.006|S2         |352.8838| 51.1658|AGN       |  SEYFERT TYPE 2|
|UGC  6728        |   0.006|S1.2       |126.5918| 36.9719|AGN       |  SEYFERT TYPE 1|
|NGC 2855         |   0.006|S3         |243.3260| 25.8549|AGN       |           LINER|
|NVSS J11501-0402 |   0.006|S          |275.2046| 55.4956|AGN       |         SEYFERT|
|NGC 2974         |   0.006|S2         |239.5115| 35.0147|AGN       |  SEYFERT TYPE 2|
|NGC  289         |   0.006|AG         |299.1329|-85.9128|AGN       |AGN UNCLASSIFIED|
|NGC 5377         |   0.006|S3         | 94.9055| 66.2095|AGN       |           LINER|
|NGC 5322         |   0.006|S          |110.2791| 55.4947|AGN       |         SEYFERT|
|ESO 325-IG41     |   0.006|H2         |316.0142| 18.6391|AGN       |AGN UNCLASSIFIED|
|SDSS J01286-0040 |   0.006|S1         |143.1222|-62.0798|AGN       |  SEYFERT TYPE 1|
|NGC 5678         |   0.006|S          |100.0446| 54.5048|AGN       |         SEYFERT|
|MARK  313        |   0.006|S3         | 88.0691|-39.3874|AGN       |           LINER|
|SDSS J15083+0147 |   0.006|S2         |  1.1165| 48.5674|AGN       |  SEYFERT TYPE 2|
|MARK  620        |   0.006|S1h        |154.9689| 23.3140|AGN       |  SEYFERT TYPE 1|
|NGC 7213         |   0.006|S3b        |349.5884|-52.5803|AGN       |           LINER|
|NGC 5078         |   0.007|S3         |310.6321| 35.0368|AGN       |           LINER|
|SDSS J03043-0659 |   0.007|S2         |186.5149|-52.6054|AGN       |  SEYFERT TYPE 2|
|NGC 7479         |   0.007|S1.9       | 86.2720|-42.8415|AGN       |  SEYFERT TYPE 2|
|NGC 3312         |   0.007|S3         |269.6930| 26.4960|AGN       |           LINER|
|MARK   52        |   0.007|H2         |288.7799| 62.7353|AGN       |AGN UNCLASSIFIED|
|SDSS J14582-0106 |   0.007|S3         |355.2970| 48.4458|AGN       |           LINER|
|NGC 3065         |   0.007|S3b        |138.4333| 39.4491|AGN       |           LINER|
|NGC 3081         |   0.007|S1h        |259.0173| 25.0346|AGN       |  SEYFERT TYPE 1|
|NGC 4180         |   0.007|S2         |276.7920| 67.9408|AGN       |  SEYFERT TYPE 2|
|NGC 2110         |   0.007|S1h        |212.9265|-16.5453|AGN       |  SEYFERT TYPE 1|
|NGC 1266         |   0.007|S?         |183.6677|-47.5079|AGN       |         SEYFERT|
|NGC 6000         |   0.007|H2         |343.3009| 19.1738|AGN       |AGN UNCLASSIFIED|
|NGC 2907         |   0.007|S3         |249.1635| 24.6479|AGN       |           LINER|
|NGC 5953         |   0.007|S2         | 23.9178| 50.3465|AGN       |  SEYFERT TYPE 2|
|NGC 2377         |   0.007|H2         |225.3539|  2.9417|AGN       |AGN UNCLASSIFIED|
|NGC 5371         |   0.007|S?         | 82.1737| 71.1961|AGN       |         SEYFERT|
|XMM J00329-4309  |   0.007|S1         |314.9165|-73.5314|AGN       |  SEYFERT TYPE 1|
|NGC 2325         |   0.007|S?         |239.9603|-10.4103|AGN       |         SEYFERT|
|NGC 5631         |   0.007|S2         | 99.5280| 56.0102|AGN       |  SEYFERT TYPE 2|
|NGC 4418         |   0.007|S2         |290.0494| 61.3784|AGN       |  SEYFERT TYPE 2|
|NGC 7135         |   0.007|AG         | 10.0738|-50.6457|AGN       |AGN UNCLASSIFIED|
|NGC 4261         |   0.007|S3h        |281.8049| 67.3724|AGN       |           LINER|
|MARK  759        |   0.007|H2         |260.3899| 75.4165|AGN       |AGN UNCLASSIFIED|
|NGC 4501         |   0.007|S2         |282.3310| 76.5079|AGN       |  SEYFERT TYPE 2|
|NGC 5506         |   0.007|S1i        |339.1501| 53.8106|AGN       |  SEYFERT TYPE 1|
|NGC 1161         |   0.007|S1.9       |145.8097|-12.1316|AGN       |  SEYFERT TYPE 2|
|UGC  6192        |   0.007|S2         |142.3961| 51.6950|AGN       |  SEYFERT TYPE 2|
|NGC 7743         |   0.007|S2         | 96.9654|-49.5255|AGN       |  SEYFERT TYPE 2|
|NGC 4235         |   0.007|S1.2       |279.1819| 68.4682|AGN       |  SEYFERT TYPE 1|
|NGC 4168         |   0.008|S1.9       |267.6804| 73.3370|AGN       |  SEYFERT TYPE 2|
|NGC 5353         |   0.008|S?         | 82.6108| 71.6335|AGN       |         SEYFERT|
|NGC 5757         |   0.008|H2         |337.4680| 35.8763|AGN       |AGN UNCLASSIFIED|
|NGC 6434         |   0.008|H2         |102.9648| 31.4292|AGN       |AGN UNCLASSIFIED|
|F  348           |   0.008|H2         |349.0551|-37.1263|AGN       |AGN UNCLASSIFIED|
|NGC 4388         |   0.008|S1h        |279.1212| 74.3347|AGN       |  SEYFERT TYPE 1|
|NGC 2782         |   0.008|S2         |182.1519| 43.6784|AGN       |  SEYFERT TYPE 2|
|NGC 6890         |   0.008|S1.9       |355.3382|-33.7089|AGN       |  SEYFERT TYPE 2|
|NGC 2992         |   0.008|S1.9       |249.7060| 28.7808|AGN       |  SEYFERT TYPE 2|
|NGC 7172         |   0.008|S2         | 15.1303|-53.0658|AGN       |  SEYFERT TYPE 2|
|NGC 5899         |   0.008|AG         | 69.3981| 57.2154|AGN       |AGN UNCLASSIFIED|
|NGC 3573         |   0.008|S3         |281.5517| 21.8045|AGN       |           LINER|
|NGC 4897         |   0.008|S2         |306.4585| 49.3576|AGN       |  SEYFERT TYPE 2|
|NGC 5077         |   0.008|S3b        |313.5451| 49.6354|AGN       |           LINER|
|SDSS J12122+0004 |   0.008|S1         |282.1417| 61.3519|AGN       |  SEYFERT TYPE 1|
|NGC 5597         |   0.008|H2         |332.8181| 40.6495|AGN       |AGN UNCLASSIFIED|
|NGC 5347         |   0.008|S2         | 62.1922| 75.2325|AGN       |  SEYFERT TYPE 2|
|MCG -06.30.015   |   0.008|S1.5       |313.2906| 27.6794|AGN       |SEYFERT TYPE 1.5|
|SDSS J09176+5259 |   0.008|S2         |164.3936| 43.0944|AGN       |  SEYFERT TYPE 2|
|NGC 4412         |   0.008|S2         |287.4910| 66.0893|AGN       |  SEYFERT TYPE 2|
|ESO 434-G40      |   0.008|S1i        |262.7439| 17.2343|AGN       |  SEYFERT TYPE 1|
|NGC 6764         |   0.008|H2         | 81.4985| 18.2320|AGN       |AGN UNCLASSIFIED|
|MCG -05.23.004   |   0.008|S3         |259.6326| 15.2094|AGN       |           LINER|
|Q 1411+4753      |   0.008|AG         | 90.3507| 63.9242|AGN       |AGN UNCLASSIFIED|
|NGC 2824         |   0.008|S?         |201.2398| 42.9215|AGN       |         SEYFERT|
|MCG -05.23.008   |   0.008|S3         |260.6742| 18.2744|AGN       |           LINER|
|MARK  201        |   0.008|H2         |134.3892| 61.7649|AGN       |AGN UNCLASSIFIED|
|NGC 5985         |   0.008|S          | 92.9782| 46.8305|AGN       |         SEYFERT|
|NGC 5929         |   0.008|S3         | 67.8476| 55.3095|AGN       |           LINER|
|NGC 3976         |   0.008|S2         |267.5353| 65.7324|AGN       |  SEYFERT TYPE 2|
|Abell 1736#14    |   0.008|S2         |311.6373| 34.6649|AGN       |  SEYFERT TYPE 2|
|NGC 5244         |   0.008|H2         |311.4737| 16.2309|AGN       |AGN UNCLASSIFIED|
|SDSS J13453+4142 |   0.009|S1.9       | 89.2752| 71.7139|AGN       |  SEYFERT TYPE 2|
|NGC 3735         |   0.009|S2         |131.7422| 45.2798|AGN       |  SEYFERT TYPE 2|
|NGC 3516         |   0.009|S1.5       |133.2358| 42.4027|AGN       |SEYFERT TYPE 1.5|
|ESO 509-IG64     |   0.009|H2         |315.5248| 38.1344|AGN       |AGN UNCLASSIFIED|
|NGC 4968         |   0.009|S2         |307.5482| 39.0545|AGN       |  SEYFERT TYPE 2|
|ESO 234-G50      |   0.009|H2         |348.9230|-36.9378|AGN       |AGN UNCLASSIFIED|
|NGC 4593         |   0.009|S1.0       |297.4827| 57.4029|AGN       |  SEYFERT TYPE 1|
|PADOVA 1         |   0.009|S1         | 43.5936|  5.2633|AGN       |  SEYFERT TYPE 1|
|MARK  607        |   0.009|S2         |186.3562|-46.1569|AGN       |  SEYFERT TYPE 2|
|NGC 7714         |   0.009|H2         | 88.2156|-55.5642|AGN       |AGN UNCLASSIFIED|
|MCG -06.28.025   |   0.009|S3         |304.0637| 26.4901|AGN       |           LINER|
|MCG -02.25.025   |   0.009|S3         |270.0517| 25.9768|AGN       |           LINER|
|NGC 7378         |   0.009|S2         | 54.6891|-57.2222|AGN       |  SEYFERT TYPE 2|
|NGC 5728         |   0.009|S1.9       |337.3245| 38.0985|AGN       |  SEYFERT TYPE 2|
|PKS 0958-314     |   0.009|S3         |265.4462| 18.5079|AGN       |           LINER|
|ESO 138-G01      |   0.009|S2         |329.6079| -9.4415|AGN       |  SEYFERT TYPE 2|
|ESO 137-G34      |   0.009|S2         |329.1307| -7.0959|AGN       |  SEYFERT TYPE 2|
|ESO 373-G13      |   0.009|S          |263.2858| 13.7566|AGN       |         SEYFERT|
|IC 2560          |   0.009|S2         |269.4252| 19.0259|AGN       |  SEYFERT TYPE 2|
|NGC 5427         |   0.009|S2         |333.2831| 52.5465|AGN       |  SEYFERT TYPE 2|
|NGC 6949         |   0.009|H2         | 99.6564| 14.2983|AGN       |AGN UNCLASSIFIED|
|MARK  270        |   0.009|S2         |115.8143| 48.7640|AGN       |  SEYFERT TYPE 2|
|NGC 3783         |   0.009|S1.5       |287.4563| 22.9475|AGN       |SEYFERT TYPE 1.5|
|NGC 4378         |   0.009|S2         |286.1058| 66.9389|AGN       |  SEYFERT TYPE 2|
|ESO 373-G29      |   0.009|S2         |264.0666| 15.8353|AGN       |  SEYFERT TYPE 2|
|NGC 4628         |   0.010|S2         |298.9460| 55.8308|AGN       |  SEYFERT TYPE 2|
|SDSS J13321+6242 |   0.010|S1         |115.0513| 53.8009|AGN       |  SEYFERT TYPE 1|
|NGC 3367         |   0.010|S          |231.3112| 57.9647|AGN       |         SEYFERT|
|NGC 3147         |   0.010|S2         |136.2906| 39.4629|AGN       |  SEYFERT TYPE 2|
|ESO 508-G05      |   0.010|S2         |307.4817| 38.8181|AGN       |  SEYFERT TYPE 2|
|IC 4197          |   0.010|S3         |307.8238| 38.9170|AGN       |           LINER|
|NGC 2911         |   0.010|S3         |223.1768| 40.5632|AGN       |           LINER|
|NGC 4990         |   0.010|H2         |311.1804| 57.3128|AGN       |AGN UNCLASSIFIED|
|ESO 443-G17      |   0.010|H2         |304.5664| 33.0853|AGN       |AGN UNCLASSIFIED|
|ESO 377-G24      |   0.010|S1         |281.5994| 22.3150|AGN       |  SEYFERT TYPE 1|
|IC 5169          |   0.010|S2         |  7.9804|-54.7818|AGN       |  SEYFERT TYPE 2|
|WEE  64          |   0.010|AG         |226.2508| 86.6187|AGN       |AGN UNCLASSIFIED|
|NGC 4696         |   0.010|S3         |302.4037| 21.5580|AGN       |           LINER|
|MARK 1126        |   0.010|S1.5       | 56.2111|-60.4898|AGN       |SEYFERT TYPE 1.5|
|ESO 108-G10      |   0.010|H2         |324.6715|-43.3024|AGN       |AGN UNCLASSIFIED|
|F  280           |   0.010|H2         |279.2597| -8.3759|AGN       |AGN UNCLASSIFIED|
|NGC 3994         |   0.010|S3         |185.9097| 77.2406|AGN       |           LINER|
|KUG 0239+013     |   0.010|AG         |170.2798|-50.8179|AGN       |AGN UNCLASSIFIED|
|NGC 4939         |   0.010|S2         |308.0963| 52.4036|AGN       |  SEYFERT TYPE 2|
|IC 3370          |   0.010|S3         |297.9206| 23.3021|AGN       |           LINER|
|MARK 1092        |   0.010|S3         |209.9002|-28.3309|AGN       |           LINER|
|H 1934-063       |   0.010|S1.5       | 32.5906|-13.0741|AGN       |SEYFERT TYPE 1.5|
|MARK  745        |   0.010|H2         |240.8507| 70.5933|AGN       |AGN UNCLASSIFIED|
|MARK  744        |   0.010|S1.8       |191.5837| 73.7031|AGN       |  SEYFERT TYPE 2|
|MARK  171        |   0.010|H2         |141.9058| 55.4060|AGN       |AGN UNCLASSIFIED|
|NGC 6500         |   0.010|S3         | 43.7639| 20.2331|AGN       |           LINER|
|NGC 3390         |   0.010|S3         |274.2631| 24.3824|AGN       |           LINER|
|MARK   25        |   0.010|H2         |152.6961| 46.8452|AGN       |AGN UNCLASSIFIED|
|NGC 4936         |   0.011|S3         |306.2029| 32.2641|AGN       |           LINER|
|ESO 512-G20      |   0.011|S1         |333.8487| 32.1752|AGN       |  SEYFERT TYPE 1|
|NGC 7377         |   0.011|S3         | 35.8281|-61.5846|AGN       |           LINER|
|MCG -04.30.029   |   0.011|S3         |302.9575| 36.4198|AGN       |           LINER|
|IC 3639          |   0.011|S1h        |300.5782| 26.0677|AGN       |  SEYFERT TYPE 1|
